year,nav_gross,nav_net,management_fee,performance_fee,total_fees,cumulative_fees,fee_drag
0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0
1,12094085.475420218,11639122.859201381,165705.64106565164,289256.97515318496,454962.6162188366,454962.6162188366,3.761860432882619
2,13244383.282689204,12424638.184855398,182889.53195699834,138620.35158600294,321509.88354300126,776472.4997618379,6.189379152936758
3,16377791.620965749,14746034.27136194,208415.59639141252,409658.1329129191,618073.7293043316,1394546.2290661694,9.963231840823662
4,22833022.427218445,19461239.332673546,264781.12303417013,832095.0108196947,1096876.1338538649,2491422.362920034,14.767134334898715
5,24610627.852320634,20491288.180329215,303281.87032034993,181773.32605688274,485055.19637723267,2976477.559297267,16.738051937195866
6,26526696.842087913,21575906.771231107,319334.4954582447,191403.2807473926,510737.77620563726,3487215.335502904,18.663424625872604
7,37250334.392237306,28659113.290839564,389055.39810965775,1249977.6211073746,1639033.0192170322,5126248.354719936,23.06347376894444
8,46866070.570634924,34534858.64015963,485371.79976660834,1036896.2381153064,1522268.0378819148,6648516.39260185,26.31159766614126
9,48529563.49269118,35128655.86246551,527216.389781395,104787.74511280171,632004.1348941966,7280520.527496047,27.61390514514709
10,59092547.48689855,41131233.282700084,584275.8250386067,1059278.3682766892,1643554.193315296,8924074.720811343,30.395227432326692
